Recipe_name,Cuisine_type,Diet_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,estimated_weigth(g)
Black River Pearl,world,dash,0.08,14.18,0.08,2022-10-16,20:30:03,14.34
Black Skillet Cornbread,american,dash,72.12,264.58,101.56,2022-10-16,20:34:52,438.26
Black-Bottom Peanut Butter Freezer Pie,american,vegan,94.34,522.29,354.72,2022-10-16,20:03:17,971.35
Black-Eyed Pea and Tempeh Beanballs,italian,vegan,89.8,120.96,41.04,2022-10-16,20:10:17,251.8
Blackberry Cobbler,american,dash,26.87,245.56,55.54,2022-10-16,20:35:45,327.97
Blackberry Mary,world,dash,1.19,17.3,0.35,2022-10-16,20:34:11,18.84
Blackberry Peach Bread Pudding With Toasted Pecans,british,dash,115.26,679.82,192.89,2022-10-16,20:36:12,987.97
Blackberry Smash,world,dash,0.55,17.19,0.17,2022-10-16,20:31:51,17.91
Blackberry Whole Wheat Coffee Cake Recipe,american,dash,53.24,569.34,85.25,2022-10-16,20:36:05,707.83
Blackened Catfish,indian,dash,100.98,21.68,155.19,2022-10-16,20:38:00,277.85
Blackthorn Cocktail Recipe,italian,dash,0.08,19.03,0.17,2022-10-16,20:30:50,19.28
Blackwood's Gin Spring,world,dash,0.58,14.85,0.17,2022-10-16,20:33:04,15.6
Blender Sweet Potato Pie,south american,vegan,20.34,253.96,98.65,2022-10-16,20:07:53,372.95
Blissful Blueberry Banana Spelt Muffins (vegan + refined sugar-free) recipes,american,vegan,63.99,445.42,104.56,2022-10-16,20:08:53,613.97
Blood Mary Pickles,world,dash,6.64,43.62,1.55,2022-10-16,20:35:05,51.81
"Bloody Carrot ""Bacon""",american,dash,2.44,53.64,14.15,2022-10-16,20:31:11,70.23
Bloody Mary,french,dash,1.71,10.42,0.56,2022-10-16,20:39:43,12.69
Bloody Mary,world,dash,1.0,5.495,0.32999999999999996,2022-10-16,20:29:33,6.82
Bloody Mary recipes,world,dash,1.2,6.82,0.43,2022-10-16,20:40:37,8.45
Bloody Mary-Flavored Gazpacho Recipe,american,dash,10.49,52.84,110.43,2022-10-16,20:33:04,173.76
Bloody Marys,french,dash,10.36,42.54,2.9,2022-10-16,20:35:05,55.8
Blue Cheese & Berry Tossed Salad,american,dash,38.01,45.54,212.73,2022-10-16,20:36:19,296.28
Blue Cheese Dressing,american,dash,31.05,13.44,234.32,2022-10-16,20:30:23,278.81
Blue Cheese Dressing recipes,american,dash,18.7,8.48,23.38,2022-10-16,20:32:11,50.56
Blue Cheese Turkey Rolls,american,dash,30.85,3.56,31.32,2022-10-16,20:34:11,65.73
Blue Cheese-Topped Pork Chops,mediterranean,dash,129.81,4.35,102.9,2022-10-16,20:33:18,237.06
Blue Cheese-Topped Steaks,american,dash,98.69,16.43,94.04,2022-10-16,20:37:46,209.16
Blue Crab Deviled Eggs,mediterranean,dash,90.81,12.42,229.51,2022-10-16,20:32:04,332.74
Blueberries and Cream Truffles recipes,american,paleo,22.64,205.97,170.65,2022-10-16,17:24:20,399.26
Blueberry Almond Chicken Salad,american,paleo,99.12,36.69,135.75,2022-10-16,17:29:00,271.56
"Blueberry Almond Mug Cake (Paleo, Gluten Free)",american,paleo,14.22,33.55,34.47,2022-10-16,17:22:05,82.24
Blueberry Almond Rum Cake,american,dash,69.75,630.1,365.2,2022-10-16,20:36:19,1065.05
"Blueberry Chia Seed Coleslaw (Paleo, GF) recipes",american,paleo,12.01,80.23,53.09,2022-10-16,17:22:45,145.33
Blueberry Cobbler {Paleo},american,paleo,34.41,144.65,130.08,2022-10-16,17:27:53,309.14
Blueberry Crumble (Gluten-free & Sugar-free) recipes,american,paleo,60.03,135.78,188.85,2022-10-16,17:25:54,384.66
"Blueberry Donut Holes (Keto, Paleo, Vegan)",american,keto,41.52,121.43,114.45,2022-10-16,17:58:30,277.4
Blueberry French Toast Casserole,french,paleo,76.39,289.975,83.285,2022-10-16,17:20:16,449.65
Blueberry French Toast Casserole recipes,french,paleo,75.36500000000001,298.38,60.77,2022-10-16,17:20:23,434.52
Blueberry Keto Cake recipes,american,keto,52.14,68.4,138.8,2022-10-16,18:01:30,259.34
Blueberry Mug Cake,american,vegan,6.67,61.95,16.73,2022-10-16,20:12:33,85.35
Blueberry Pie Sundaes,american,dash,40.69,218.37,19.61,2022-10-16,20:35:25,278.67
Blueberry Tart,central europe,dash,14.68,223.12,61.31,2022-10-16,20:31:04,299.11
Blueberry and macadamia yoghurt bark,french,paleo,24.89,74.19,67.42,2022-10-16,17:30:21,166.5
Blueberry cheesecake Keto,american,keto,93.43,382.29,131.79,2022-10-16,18:00:37,607.51
"Blueberry cream cheese low-carb, Keto filling",american,keto,14.57,31.47,78.15,2022-10-16,17:58:43,124.19
Bobby Axelrod,world,dash,0.03,0.22,0.34,2022-10-16,20:30:37,0.59
Bombay Sloppy Joe on Low-Carb Buns recipes,american,keto,109.33,71.68,135.26,2022-10-16,18:08:44,316.27
Bone Broth From 'Nom Nom Paleo',american,paleo,5.22,1.29,3.2,2022-10-16,17:20:09,9.71
Boneless Short Ribs on the BGE,french,paleo,392.64,12.51,472.92,2022-10-16,17:21:31,878.07
Bonnie’s Fish Stew,french,dash,400.08,147.52,155.6,2022-10-16,20:39:30,703.2
Bonus Recipe: Do the Cabbage Pack!,american,dash,10.9,35.69,34.85,2022-10-16,20:29:33,81.44
Bordertown Beef and Bean Torta,mediterranean,dash,159.3,215.68,180.55,2022-10-16,20:36:32,555.53
Bordertown Beef and Bean Torta recipes,south american,dash,159.3,215.68,180.55,2022-10-16,20:36:12,555.53
Borscht,french,dash,22.55,60.76,24.55,2022-10-16,20:36:25,107.86
Boston Baked Beef,american,paleo,135.99,193.85,232.95,2022-10-16,17:21:18,562.79
Botanical Sandwich,american,mediterranean,39.09,100.57,13.04,2022-10-16,16:49:25,152.7
Bouillabaisse,american,mediterranean,312.48,248.86,205.87,2022-10-16,16:45:57,767.21
Bouillabaisse with Rouille,american,mediterranean,240.19,255.96,259.63,2022-10-16,16:50:59,755.78
Bourbon Maple Cider Recipe,world,dash,2.11,54.23,0.03,2022-10-16,20:30:30,56.37
Bourbon Old Fashioned Recipe,british,dash,0.0,10.42,0.0,2022-10-16,20:29:33,10.42
Bourbon Renewal,world,dash,0.11,19.01,0.11,2022-10-16,20:31:17,19.23
Bourbon Renewal Recipe,world,dash,0.33,19.7,0.13,2022-10-16,20:33:11,20.16
Bourbon-Caramel Truffles,american,dash,11.06,141.96,46.94,2022-10-16,20:33:11,199.96
Braised Artichokes With Leeks and Peas From 'The New Vegetarian Cooking for Everyone',mediterranean,vegan,50.89,224.38,53.68,2022-10-16,20:12:26,328.95
"Braised Chicken With Artichokes, Olives, and Lemon",mediterranean,mediterranean,241.76,159.0,214.7,2022-10-16,16:46:44,615.46
Braised Chicken with Fennel and Dried Figs,french,mediterranean,218.73,156.01,193.1,2022-10-16,16:47:58,567.84
"Braised Chicken with Saffron Onions, Italian Couscous, and Dates",italian,mediterranean,442.1,603.47,503.79,2022-10-16,16:48:18,1549.36
"Braised Chickpeas and Vegetables with Couscous, Harissa Yogurt, and Soft Eggs from 'Flour, Too'",american,vegan,118.52,330.85,107.74,2022-10-16,20:12:46,557.11
Braised Coconut Spinach with Chickpeas and Lemon Recipe,french,dash,63.68,218.05,109.19,2022-10-16,20:39:50,390.92
Braised Cube Steak with Onion Gravy (AIP) recipes,american,paleo,22.12,875.89,54.93,2022-10-16,17:25:54,952.94
Braised Eggplant With Tofu in Garlic Sauce Recipe,asian,vegan,44.86,102.6,59.6,2022-10-16,20:12:33,207.06
Braised Green Beans with Tomatoes,mediterranean,vegan,17.49,77.86,70.2,2022-10-16,20:10:17,165.55
Braised Herb Chicken with Shallots and Garlic,mediterranean,mediterranean,142.2,56.24,162.61,2022-10-16,16:49:12,361.05
Braised Lamb Shanks & Eggplant,middle eastern,mediterranean,224.43,78.02,183.6,2022-10-16,16:47:17,486.05
Braised Leg of Lamb with Juniper,french,mediterranean,355.04,112.89,304.93,2022-10-16,16:47:44,772.86
Braised Mediterranean Chicken with Polenta,mediterranean,mediterranean,276.26,137.25,298.42,2022-10-16,16:45:10,711.93
Braised Mediterranean Chicken with Polenta recipes,mediterranean,mediterranean,276.26,137.25,298.42,2022-10-16,16:45:30,711.93
Braised Pork Belly Sandwich with Pesto Mayo,italian,dash,196.72,279.07,713.11,2022-10-16,20:40:10,1188.9
"Braised Red Cabbage (Rotkraut) - (Vegan, Gluten Free, Low Fat)",american,vegan,19.6,91.74,39.84,2022-10-16,20:08:26,151.18
Braised Short Rib Bolognese,italian,paleo,242.69,59.62,607.18,2022-10-16,17:21:31,909.49
Braised Stuffed Tofu,asian,dash,68.66,40.42,63.62,2022-10-16,20:36:12,172.7
Braised Winter Vegetable Pasta,italian,vegan,59.4,297.09,35.46,2022-10-16,20:11:25,391.95
Brandade De Morue,south american,mediterranean,289.65,9.87,241.83,2022-10-16,16:50:32,541.35
Branzino Mediterranean,mediterranean,mediterranean,67.5,27.99,33.7,2022-10-16,16:49:12,129.19
Branzino al Forno,italian,mediterranean,431.11,70.42,122.31,2022-10-16,16:46:57,623.84
Brazilian Keto Shrimp Stew,south american,keto,146.23,33.22,107.08,2022-10-16,18:00:43,286.53
Bread Salad,american,dash,44.09,153.84,86.03,2022-10-16,20:37:53,283.96
Breaded Chicken Fingers,american,dash,102.95,36.31,43.9,2022-10-16,20:32:51,183.16
Breakfast Burrito,mexican,dash,78.51,156.56,111.0,2022-10-16,20:36:05,346.07
Breakfast Burritos For 2,mexican,dash,53.78,66.4,66.15,2022-10-16,20:35:12,186.33
Broad bean and runner bean risotto,italian,dash,65.08,314.49,102.18,2022-10-16,20:38:20,481.75
"Broccoli & Chicken Stir Fry Recipe – Low Carb, Keto & Paleo recipes",chinese,keto,104.47,48.84,99.09,2022-10-16,18:08:44,252.4
Broccoli Bacon Quiches,french,dash,32.59,9.49,78.87,2022-10-16,20:30:03,120.95
Broccoli Biscuit Squares,american,dash,200.94,193.97,235.72,2022-10-16,20:37:53,630.63
Broccoli Cauliflower Soup,central europe,keto,50.26,100.93,27.18,2022-10-16,18:06:54,178.37
Broccoli Cheddar Soup (Keto-3.7 net carbs per serving),american,keto,116.23,192.1,347.33,2022-10-16,18:08:17,655.66
Broccoli Cheese Soup recipes,american,dash,239.95,319.04,333.96,2022-10-16,20:35:45,892.95
Broccoli Cheese Strata,american,dash,48.67,44.68,40.35,2022-10-16,20:30:30,133.7
Broccoli Chicken Tortellini,italian,dash,69.02,95.75,58.41,2022-10-16,20:31:51,223.18
Broccoli Crescent Appetizers,mediterranean,dash,51.31,137.46,36.24,2022-10-16,20:36:19,225.01
Broccoli Kale Pizza Crust Recipe | Crispy Keto Pizza Crust,italian,keto,47.53,71.41,39.84,2022-10-16,18:08:31,158.78
Broccoli Shrimp Alfredo,italian,dash,182.84,391.59,209.82,2022-10-16,20:36:32,784.25
Broccoli Slaw w/ Mustard Vinaigrette,american,vegan,11.45,50.78,15.07,2022-10-16,20:10:03,77.3
Broccoli and bacon salad,american,paleo,66.61,142.18,186.51,2022-10-16,17:25:47,395.3
Broccoli with Red Pepper Flakes and Toasted Garlic,british,mediterranean,13.32,25.55,10.61,2022-10-16,16:46:24,49.48
"Broccoli, Cheddar, and Ranch Chicken Calzones",italian,dash,83.38,16.85,102.3,2022-10-16,20:39:36,202.53
"Broccoli, Feta, and Sausage Frittata",mediterranean,paleo,133.75,39.86,157.09,2022-10-16,17:24:06,330.7
"Broccoli, Pancetta, and Parmesan Frittata",italian,dash,73.47,22.99,69.66,2022-10-16,20:36:52,166.12
"Broiled Fish with Maple Glaze, Braised Fennel, and Sautéed Chard Recipe",american,dash,66.0,75.9,40.88,2022-10-16,20:40:24,182.78
Broiled Lamb Chops with Walnut and Mint Gremolata,american,mediterranean,178.2,14.66,343.4,2022-10-16,16:47:24,536.26
Broiled Marinated Skirt Steak with Cilantro and Preserved Lemon Gremolata,american,dash,92.32,12.71,65.46,2022-10-16,20:39:57,170.49
Broiled Paleo Burger,american,paleo,147.0,98.03,245.1,2022-10-16,17:28:06,490.13
Brooklyn Cocktail recipes,world,dash,0.02,1.06,0.0,2022-10-16,20:29:20,1.08
Brown Butter Pecan Keto Ice Cream recipes,american,keto,10.94,16.48,169.72,2022-10-16,18:07:03,197.14
Brown Butter Pecan Pie,american,dash,81.46,860.34,463.21,2022-10-16,20:37:53,1405.01
Brown Butter-Sunchoke Soup With Brussels Sprouts and Bacon Recipe,italian,dash,85.2,288.14,137.15,2022-10-16,20:40:37,510.49
Brown Rice Risotto with Mushrooms,italian,vegan,42.67,384.54,95.64,2022-10-16,20:10:51,522.85
Brown Rice Sushi Balls,japanese,dash,24.34,155.96,40.16,2022-10-16,20:31:31,220.46
Browned Butter Bananas with Toasted Pecans,american,dash,9.74,149.0,72.34,2022-10-16,20:35:38,231.08
Brownies Mediterranean Fish,french,mediterranean,87.39,44.94,36.23,2022-10-16,16:52:59,168.56
Brussels Sprout & Kale Slaw recipes,central europe,paleo,38.53,163.13,124.5,2022-10-16,17:30:07,326.16
"Brussels Sprout Stir Fry With Egg, Chilli, Ginger And Garlic",chinese,dash,36.52,306.37,24.63,2022-10-16,20:37:33,367.52
Buche De Noel,french,dash,52.37,530.77,137.42,2022-10-16,20:38:13,720.56
Buckwheat Tortillas,mexican,vegan,45.44,255.23,44.91,2022-10-16,20:09:09,345.58
Buddha bowl with grilled tofu and gluten-free white beer,asian,vegan,91.78,255.89,70.28,2022-10-16,20:11:18,417.95
Buffalo Chicken Casserole,american,paleo,193.01,74.42,327.15,2022-10-16,17:25:20,594.58
"Buffalo Chicken Cobb Salad {paleo, whole30",american,paleo,3.26,7.35,89.83,2022-10-16,17:22:58,100.44
Buffalo Chicken Salad,american,dash,78.28,20.3,148.43,2022-10-16,20:38:40,247.01
Buffalo Chicken Sandwiches & Ranch,american,dash,186.08,186.44,227.67,2022-10-16,20:39:36,600.19
Buffalo Keto Chicken Tenders recipes,american,keto,135.48,91.72,140.91,2022-10-16,18:03:39,368.11
"Buffalo Ranch Chicken Salad Recipe {Paleo, Whole30 Compliant} recipes",american,paleo,145.57,27.22,152.88,2022-10-16,17:22:05,325.67
Buffalo Shrimp Salad with Spicy Pita Croutons,italian,dash,23.61,44.49,29.27,2022-10-16,20:40:03,97.37
Buffalo-Style Quinoa Chili,american,vegan,39.63,187.22,25.32,2022-10-16,20:10:58,252.17
"Bulgur And Freekeh Pilaf With Roasted Butternut Squash, Feta And Parsley",mediterranean,dash,65.04,281.37,94.95,2022-10-16,20:36:52,441.36
Bulgur with Steak and Chickpeas,middle eastern,dash,20.12,40.09,20.02,2022-10-16,20:35:45,80.23
Bunless Paleo Chicken BLTs recipes,american,paleo,97.48,19.3,119.43,2022-10-16,17:22:12,236.21
Burgers with Chunky Grilled Vegetables,american,vegan,52.87,100.71,28.39,2022-10-16,20:05:58,181.97
Burnt leeks on toast with romesco,mediterranean,vegan,52.01,258.41,57.4,2022-10-16,20:09:50,367.82
Burrata Pizza,italian,dash,72.76,130.13,59.23,2022-10-16,20:29:47,262.12
Butter Turnip-It-Up Creamy Comfort Soup,french,dash,7.96,46.36,147.53,2022-10-16,20:36:12,201.85
Butter bean & tomato salad,middle eastern,vegan,38.935,125.13999999999999,46.92,2022-10-16,20:09:36,211.0
Buttered Brussels Sprouts recipes,american,keto,125.95,93.59,266.94,2022-10-16,18:06:20,486.48
Buttered-Pecan French Toast with Bourbon Maple Syrup,american,dash,82.66,445.96,259.08,2022-10-16,20:38:54,787.7
Butternut Bowl o' Soup,south american,dash,23.21,151.88,15.54,2022-10-16,20:35:05,190.63
Butternut Buttermilk Biscuits,american,dash,47.9,364.29,124.87,2022-10-16,20:37:06,537.06
Butternut Penne with Feta and Pecans,mediterranean,dash,83.87,421.77,87.9,2022-10-16,20:36:39,593.54
Butternut Souffle,italian,dash,6.17,20.92,4.17,2022-10-16,20:32:11,31.26
Butternut Squash 'Chawanmushi',south east asian,dash,31.57,47.15,18.66,2022-10-16,20:33:38,97.38
Butternut Squash Bisque,french,dash,11.78,169.06,24.22,2022-10-16,20:30:50,205.06
Butternut Squash Instant Pot Chili,american,paleo,13.0,107.78,15.66,2022-10-16,17:24:06,136.44
Butternut Squash Mac and Cheese,american,keto,116.54,100.72,190.88,2022-10-16,17:58:49,408.14
Butternut Squash Puree,american,dash,5.5,85.3,46.35,2022-10-16,20:30:17,137.15
Butternut Squash Salad With Farro And Pepitas recipes,italian,vegan,67.75,229.64,124.65,2022-10-16,20:08:13,422.04
Butternut Squash Soup with Apple and Ginger,american,mediterranean,81.03,403.57,496.19,2022-10-16,16:48:11,980.79
Butternut Squash Soup with Spiced Seeds,american,dash,39.32,215.7,59.78,2022-10-16,20:37:46,314.8
Butternut Squash and Bacon Bloody Mary,american,dash,2.09,19.71,0.57,2022-10-16,20:34:18,22.37
Butternut Squash and Black Bean Tacos,mexican,vegan,49.82,230.23,66.95,2022-10-16,20:11:04,347.0
Butternut Squash and Quinoa Pilaf,mediterranean,vegan,28.77,160.17,42.8,2022-10-16,20:09:56,231.74
Butternut Squash and Spinach Lasagna (Vegan),italian,vegan,114.38,356.37,130.93,2022-10-16,20:13:13,601.68
"Butternut Squash, Kale, and Crunchy Pepitas Taco",american,vegan,41.35,123.69,102.21,2022-10-16,20:12:33,267.25
"Butternut, chestnut & lentil cake",south east asian,vegan,123.25,624.69,113.28,2022-10-16,20:07:39,861.22
Buttery Apple Crumble,british,dash,49.06,528.35,128.98,2022-10-16,20:36:59,706.39
CHIPOTLE JACKFRUIT TACOS WITH SIMPLE GUAC AND LEMON ORANGE CREMA,mexican,vegan,35.85,463.12,106.43,2022-10-16,20:09:03,605.4
CHORIZO BURGER WITH CUCUMBER SLAW recipes,mediterranean,paleo,146.06,23.64,205.89,2022-10-16,17:25:47,375.59
CINNAMON ROLLS with COCONUT FROSTING & CARAMEL RAISIN FILLING recipes,american,dash,50.73,649.31,66.02,2022-10-16,20:38:27,766.06
Cabbage Orange Salad,american,dash,7.29,47.48,14.41,2022-10-16,20:31:51,69.18
Cabbage Soup Recipe [Keto & Low Carb] recipes,middle eastern,keto,176.06,97.47,184.35,2022-10-16,18:07:10,457.88
"Cabbage, Bean and Crispy Cale Soup",french,vegan,95.38,399.58,45.6,2022-10-16,20:10:44,540.56
Cabbage~Brussel Sprout Slaw,central europe,keto,3.18,23.75,94.74,2022-10-16,17:59:23,121.67
Caesar Bread Salad Or Panzanella Giulio,american,dash,98.97,303.62,180.76,2022-10-16,20:39:03,583.35
Caesar Brussels Sprouts Salad with Almonds,american,dash,22.56,39.91,35.15,2022-10-16,20:34:31,97.62
Caesar Dressing recipes,american,dash,12.08,6.85,64.18,2022-10-16,20:34:31,83.11
Caesar Salad,american,dash,55.93666666666667,105.71666666666665,184.18666666666664,2022-10-16,20:34:25,345.84
Caesar Salad Le Cirque Recipe,american,dash,96.11,98.41,353.39,2022-10-16,20:40:24,547.91
Caesar Salad Le Cirque recipes,american,dash,96.12,98.43,353.39,2022-10-16,20:39:57,547.94
Caesar Salad With Red Romaine,american,dash,92.98,117.64,161.31,2022-10-16,20:39:57,371.93
Caesar Salad with Baby Romaine,mexican,dash,46.73,112.64,89.06,2022-10-16,20:38:13,248.43
"Caesar Turkey Burger Bowls (Paleo, Whole30 + Keto)",american,keto,169.12,30.04,230.99,2022-10-16,18:07:30,430.15
Cajun BBQ Chicken,american,dash,111.01,135.57,38.95,2022-10-16,20:38:13,285.53
Cajun Butter Steak Bites,american,keto,134.33,16.43,171.92,2022-10-16,18:07:10,322.68
Cajun Grilled Chicken,american,dash,246.33,20.33,41.76,2022-10-16,20:31:31,308.42
Cajun Keto Crackers,american,keto,114.88,28.39,160.4,2022-10-16,17:59:29,303.67
Cajun Portobello Sandwich with Avocado and Rémoulade,american,vegan,57.79,210.99,172.74,2022-10-16,20:06:18,441.52
Calamari Mediterranean,mediterranean,mediterranean,32.17,33.94,54.83,2022-10-16,16:49:59,120.94
Callaloo - Trinidadian (Vegan) Cream of Spinach,american,vegan,23.33,58.48,125.79,2022-10-16,20:07:05,207.6
Campbell's Classic Green Bean Casserole,south east asian,dash,25.26,147.27,63.74,2022-10-16,20:33:58,236.27
Can't-Believe-It's-Vegan Chili,american,vegan,214.61,484.66,105.34,2022-10-16,20:03:23,804.61
Canadian apple butter,american,vegan,2.49,135.45,25.78,2022-10-16,20:05:58,163.72
Candied Orange Slices with Ganache Dipping Sauce,american,dash,6.14,978.63,26.75,2022-10-16,20:35:18,1011.52
Candied Sweet Potato Ricotta Tart,south american,dash,38.28,179.53,117.32,2022-10-16,20:37:53,335.13
Candy Corn Milkshake,american,dash,20.41,105.95,44.92,2022-10-16,20:29:40,171.28
Candy Corn Trifle,british,dash,51.1,734.24,112.55,2022-10-16,20:33:51,897.89
Cannellini Bean & Roasted Red Pepper Sandwich,italian,vegan,88.04,263.7,20.91,2022-10-16,20:10:51,372.65
"Canoas (Ripe Plantain ""Canoes"" Stuffed with Ground Meat)",south american,dash,90.42,470.78,110.69,2022-10-16,20:38:54,671.89
Cantaloupe & Green Tomato Salad,french,dash,7.87,59.6,9.8,2022-10-16,20:38:54,77.27
Capellini Primavera,italian,dash,98.3,490.73,107.99,2022-10-16,20:39:30,697.02
Capers: What's Not to Love? Recipe,italian,mediterranean,82.98,25.84,105.67,2022-10-16,16:48:11,214.49
"Caramel Caffe Latte (paleo, GF, dairy-free) recipes",american,paleo,3.28,32.7,15.37,2022-10-16,17:21:51,51.35
Caramel Chocolate Mousse (Paleo & Vegan) recipes,american,paleo,38.1,270.02,232.58,2022-10-16,17:22:45,540.7
Caramel Pears,american,dash,2.06,97.72,0.56,2022-10-16,20:33:11,100.34
Caramelised Apple Cake With Cointreau Custard,american,dash,56.46,389.76,159.32,2022-10-16,20:34:45,605.54
Caramelized Onion Hummus,mediterranean,vegan,73.91,236.99,191.25,2022-10-16,20:10:10,502.15
Caramelized Onion and Sour Cream Spread,american,mediterranean,78.92,277.84,151.23,2022-10-16,16:47:17,507.99
Carb Free Cloud Bread,american,paleo,23.34,4.53,17.99,2022-10-16,17:24:00,45.86
Cardamom Blush Cocktail Recipe,world,dash,0.11,23.24,0.07,2022-10-16,20:39:43,23.42
Cardamom Blush Cocktail recipes,world,dash,0.11,23.24,0.07,2022-10-16,20:39:50,23.42
Cardoon Soup with Black Truffle Carpaccio Recipe,french,mediterranean,20.65,136.09,67.09,2022-10-16,16:48:04,223.83
Carmelized onion with bacon and green apple dip/spread,american,dash,22.08,49.91,91.59,2022-10-16,20:34:52,163.58
Carnitas tenderloin tacos,mexican,vegan,71.06,54.84,66.08,2022-10-16,20:05:58,191.98
Carolina BBQ Meatballs (Low Carb & Glu,american,paleo,92.06,28.05,117.08,2022-10-16,17:25:00,237.19
Carpaccio of Cherries with Creme Fraiche,french,dash,1.72,22.07,11.15,2022-10-16,20:32:31,34.94
"Carrot ""Lox""",british,vegan,2.53,16.67,0.7,2022-10-16,20:09:09,19.9
Carrot & caraway crackers,american,vegan,19.35,185.39,46.89,2022-10-16,20:03:37,251.63
Carrot Cake Bites,british,vegan,33.15,320.19,189.16,2022-10-16,20:10:37,542.5
"Carrot Cake Cheesecake | Keto, Instant Pot",american,keto,59.9,122.72,232.24,2022-10-16,18:06:54,414.86
Carrot Cake Gelly Shots,british,dash,31.96,155.41,22.11,2022-10-16,20:39:50,209.48
Carrot Cake Whoopie Pies with Cinnamon Cream Cheese Frosting,american,dash,59.66,719.77,202.56,2022-10-16,20:38:54,981.99
Carrot Cake With Vegan Cream Cheese Frosting,american,vegan,74.47,1032.32,465.91,2022-10-16,20:02:56,1572.7
Carrot Dog Pigs in a Blanket,american,vegan,27.61,150.93,9.46,2022-10-16,20:10:44,188.0
Carrot Gnocchi with Chard two ways,italian,dash,64.63,207.5,139.97,2022-10-16,20:29:40,412.1
Carrot Mustard Soup,american,vegan,69.1,147.26,30.53,2022-10-16,20:06:38,246.89
Carrot Ribbons with Sesame,mediterranean,dash,1.71,17.71,4.95,2022-10-16,20:31:24,24.37
Carrot Spice Cake Ice Cream,american,paleo,7.28,129.89,17.14,2022-10-16,17:23:39,154.31
"Carrot and Rye Berry Salad With Celery, Cilantro, and Marcona Almonds Recipe",american,vegan,38.18,117.41,114.49,2022-10-16,20:11:18,270.08
"Carrot, Ginger, and Basil Soup Recipe",american,vegan,35.0,62.3,18.06,2022-10-16,20:12:26,115.36
"Carrot, Pea, and Mint Salad Recipe",mediterranean,vegan,17.22,75.91,82.92,2022-10-16,20:07:59,176.05
Carrot-Thyme Soup With Cream,american,dash,12.37,212.76,46.58,2022-10-16,20:31:24,271.71
Carrot-Thyme Soup with Cream,american,dash,12.39,212.88,46.59,2022-10-16,20:29:53,271.86
Carrots and Blue Cheese,american,dash,12.18,38.19,38.32,2022-10-16,20:29:47,88.69
Cashew Cheesecake,american,vegan,87.42,376.41,316.17,2022-10-16,20:08:40,780.0
Cashew Chicken Bake,south american,dash,149.18,173.27,113.57,2022-10-16,20:39:16,436.02
Cashew Cream Recipe,american,vegan,51.27,112.82,123.1,2022-10-16,20:09:09,287.19
Cashew cream fettuccine Alfredo with sauteed spinach and cheese crisps (gluten-free),italian,vegan,134.51,486.89,259.0,2022-10-16,20:08:47,880.4
Cashew “Hollandaise”,french,vegan,6.59,13.61,42.48,2022-10-16,20:09:30,62.68
Cashew-Crusted Tilapia With Wild Rice,mediterranean,dash,13.7,46.89,12.95,2022-10-16,20:32:04,73.54
Cassava Bacon,american,vegan,11.08,186.49,22.83,2022-10-16,20:09:30,220.4
Cassava Flour Chocolate Mayonnaise Cake,american,paleo,11.04,422.58,237.46,2022-10-16,17:25:40,671.08
"Casserole of Lentils, Eggplant, and Mint",middle eastern,mediterranean,49.8,189.68,77.8,2022-10-16,16:48:11,317.28
Cat Cora's Olive Oil Chocolate Cake,american,mediterranean,72.74,336.95,148.19,2022-10-16,16:46:44,557.88
Catfish with Red Pepper Sauce,american,dash,21.06,19.43,34.77,2022-10-16,20:37:26,75.26
Cauliflower + Red Lentil Curry,indian,vegan,71.24,193.75,117.33,2022-10-16,20:11:11,382.32
Cauliflower Bread,british,paleo,75.17,48.1,183.37,2022-10-16,17:24:13,306.64
Cauliflower Canapés,mediterranean,dash,39.8,171.75,77.97,2022-10-16,20:32:44,289.52
Cauliflower Chicken Fried Rice,chinese,keto,136.76,50.43,89.11,2022-10-16,17:59:16,276.3
Cauliflower Cilantro Salad Recipe,mediterranean,vegan,11.07,41.95,42.2,2022-10-16,20:10:17,95.22
"Cauliflower Fried ""Rice"" (Paleo)",chinese,paleo,26.48,44.85,16.65,2022-10-16,17:22:18,87.98
Cauliflower Fried Rice,chinese,paleo,46.62,82.76,53.47,2022-10-16,17:21:24,182.85
Cauliflower Fried Rice recipes,chinese,paleo,150.64,79.08,369.91,2022-10-16,17:24:20,599.63
Cauliflower Hash Browns Who Knew?,french,paleo,24.46,27.76,27.96,2022-10-16,17:24:13,80.18
Cauliflower Potato Salad,american,paleo,39.1,51.14,65.66,2022-10-16,17:24:33,155.9
Cauliflower Rice Recipe,south east asian,keto,21.07,60.61,42.28,2022-10-16,17:58:03,123.96
Cauliflower Soup,american,dash,20.17,32.894999999999996,25.345,2022-10-16,20:30:37,78.41
Cauliflower Soup Drizzled with White Truffle Oil,french,paleo,41.9,64.07,37.95,2022-10-16,17:21:24,143.92
Cauliflower Steaks with Olive Salsa and Roasted Tomato Sauce,american,vegan,23.27,96.18,29.35,2022-10-16,20:09:56,148.8
Cauliflower Sweet Potato Burgers with Avocado and Sriracha Aioli (Vegetarian Paleo) recipes,american,paleo,45.65,218.51,201.1,2022-10-16,17:23:46,465.26
